text,datetime,time_text
"HAH, GIMANA SIHHHH BERITA APA INI ANJIR  pada ga suka di bagian mananya dah sumpah isinya buzzer semua ini mah",2025-09-17T04:16:19.000Z,17 Sep
"Kolektife dikuasai pemengaruh, yang rentan diboncengi NICA",2025-09-16T09:57:36.000Z,16 Sep
"lu pada kenapa sih anjg malah ngeributin ga jelas, tolol. udah bagus dirangkumin tuntutan yg ga hanya berfokus pada dpr.",2025-09-17T13:06:36.000Z,17 Sep
Pentingkah mukanya sendiri dipampangkan begini?HLH,2025-09-15T12:18:01.000Z,15 Sep
"Ybs dikritik aja langsung tutup akun, sekarang muncul di media mengklaim mewakili keresahan mayoritas publik. Yang bertaruh nyawa siapa, yang dapat sorot panggung siapa...  x.com/tempodotco/sta…",2025-09-15T15:06:45.000Z,15 Sep
Malas banget lu tempo,2025-09-16T03:15:48.000Z,16 Sep
"gausa gini2an, langsung Nepal gas",2025-09-16T14:56:59.000Z,16 Sep
Idih najis,2025-09-16T05:44:12.000Z,16 Sep
Tempo bathi geden iki,2025-09-15T23:34:33.000Z,16 Sep
dia siapa si?,2025-09-15T12:08:46.000Z,15 Sep
Not cool man not cool,2025-09-15T11:17:25.000Z,15 Sep
wtf tempo?,2025-09-16T02:58:36.000Z,16 Sep
Dia siapa?,2025-09-15T16:33:24.000Z,15 Sep
Asli bego dah,2025-09-15T11:59:10.000Z,15 Sep
Calon Komisaris…,2025-09-15T12:31:31.000Z,15 Sep
"Nih orang dari masih kuliah udah super pretensius, gak heran sekarang jadi begini",2025-09-16T09:16:59.000Z,16 Sep
"@_haye_  kalau lihat arah diskusinya, gerakan lurus terorganisir emang kudu tahan banting ya. Ego sektoral kenceng lagi ngalahin nafas gerakan awal. Kalau dah gini ya kudu balikin lagi ke nafas kolektif  berkobar2 marah gpp, duduk lagi sbntr, kita pikir lg kita mau benahi gmn …",2025-09-16T01:41:35.000Z,16 Sep
tuntutan my ass....,2025-09-16T06:32:30.000Z,16 Sep
"Tempo, lu kenapa sih? Harusnya ingetin Afu, jangan kayak gini. Coba lah.....",2025-09-17T03:46:54.000Z,17 Sep
I see,2025-09-16T08:52:03.000Z,16 Sep
hoamszz,2025-09-15T11:58:07.000Z,15 Sep
@grok  tolong jelaskan kronogis kenapa penggagas 17+8 disebut-sebut anti kritik?,2025-09-15T16:49:36.000Z,15 Sep
Lah kan kemaren di Omon-Omon lu ngekritik gerakan rimpang kek gini?! Tempo downfall = udah habis ini mah mati bareng aja Indo,2025-09-16T08:41:12.000Z,16 Sep
"Bubar bubar, malah pada gelut satu sama lain wkwkwk. Pemerenta, win  Manchester United, lose",2025-09-16T09:08:52.000Z,16 Sep
https:// x.com/myopicjudgemen t/status/1967427702492934533?t=T8eZE_fqXyXRTWN82qV59A&s=19 …,2025-09-15T08:55:42.000Z,15 Sep
Saha bangsat?,2025-09-16T02:56:59.000Z,16 Sep
Beda level ma Nepal,2025-09-14T01:40:33.000Z,14 Sep
"JAHAT ORNG indonesia , ga ada yang mau sadar di jajah negara sendiri ..",2025-09-16T01:44:41.000Z,16 Sep
Tempo mending tobat deh.,2025-09-15T23:35:08.000Z,16 Sep
"Dan terlalu panjang, sampe RUU PERAMPASAN ASET bakal di ketok di 2029 untuk melemahkan Oposisi Ehehe",2025-09-15T15:14:11.000Z,15 Sep
wkwkwkwk,2025-09-16T17:27:01.000Z,17 Sep
Ingon2nane hama jokower peyot gunawan tenan po iki wwkkk,2025-09-15T15:02:54.000Z,15 Sep
"Ada yg mau mewakili, kenapa pada marah2 ya?",2025-09-16T10:22:51.000Z,16 Sep
Why the FUCK is her face the cover??? Annoying narcissist,2025-09-16T10:23:47.000Z,16 Sep
Siapa yang minta dia untuk jadi perwakilan sih? Tolol tolol,2025-09-16T12:02:28.000Z,16 Sep
Antek asing  #resetIndonesia 17+8  Reformasi Polri Perampasan aset koruptor  Warga jaga warga,2025-09-17T01:28:43.000Z,17 Sep
udahlah bubar ajaa,2025-09-16T00:47:55.000Z,16 Sep
"emang udah kodratnya dijajah sama pejabat dah, sekalinya ada yg siap mewakili dengan segala macam tantangam dan ancaman malah dirujak sama masyarakat",2025-09-15T15:20:29.000Z,15 Sep
Lagian Andhyta ini siapa dah? Sebenernya lebih suka denger suara Bapak bapak atau Ibu ibu yang kerja banting tulang menghadapi dunia drpd orang2 yang mengklaim aktivis menyuarakan rakyat kecil tp hapenya mahal mahal,2025-09-15T14:42:59.000Z,15 Sep
"@tempodotco   @BocorAlusPol   seperti mendukung Jokowi, wawancara tempo kali ini cuma pepesan kosong dan melihat sesuatu hanya dari influencer yang influenza. Ga ada manfaatnya buat gerakan rakyat, ini cuma bocor Alus buat penguasa bahwa betapa kroposonya para pengkritik mereka",2025-09-15T11:28:51.000Z,15 Sep
Saya berharap ada tuntutan untuk makzulkan wapres anak haram konstitusi dan penjarakan pemalsu ijazah serta pemberantasan geng termul.Mungkin itu yg ditunggu seluruh Rakyat Indonesia.,2025-09-16T06:32:36.000Z,16 Sep
thx tempo,2025-09-15T01:24:11.000Z,15 Sep
"Influencer 17+8 kontol!  yang bully 17+8 jg kontol! Kontol klean semua!   Yang mati ya tetap mati,  yang miskin tetap miskin,   bahlil tetep tolol,  gibran tetep tolol!  Kontol klean semua!",2025-09-18T04:15:50.000Z,18 Sep
"Tuntutan adalah Gerakan Jangka Panjang..?  Jangka pendeknya sudah gugur, deadline 1 tahunnya akan berhasil?  Penguasa selalu punya perangkat untuk ""mengurai"" suatu gerakan.  ingat, masih ada orang yang dinyatakan hilang & banyak kawan-kawan yang masih ditahan.",2025-09-15T00:07:00.000Z,15 Sep
"Sy percaya  @afutami  punya niat baik, hanya caranya perlu diperbaiki spy mengakar di akar rumput & diterima oleh semua pihak, bkn hanya berada di bubble-nya sendiri  Aktivis itu gak boleh elitis, tp perlu turun mendengar keluhan rakyat paling bawah, itulah pergerakan yg sebenarnya",2025-09-15T09:18:47.000Z,15 Sep
Semakin najis saja. Tolol banget tidak ada yang protes. Berarti memang pada najis.,2025-09-14T11:58:04.000Z,14 Sep
Perbaikan pemerintah dimulai dari perbaikan partai politik  Pemerintah jadi buruk karena kita yang bersalah oleh pengabaian kita kepada partai politik,2025-09-14T23:27:26.000Z,15 Sep
"Warna Bisa Menipu, Sampai Demo 17+8 Jadi Alat Propaganda!  #WaspadaKodeWarna #HijauPinkMisterius #AksiAtauAgenda #JanganTerkecohSimbol #BongkarNarasiTersembunyi #fypviraltwitter  @tempodotco",2025-09-15T02:33:41.000Z,15 Sep
"Tempo sebaiknya sudahi memfasilitasi NGO yang hanya percaya aksi damai dan membuat patron-patron ini. Hal ini hanya melenggangkan banyak pengaburan dan kebodohan. Percaya bahwa ini kegiatan kolektif dan harus mengakar, kemarahannya juga perlu dirawat",2025-09-16T08:28:01.000Z,16 Sep
"17+8 Tidak ada hukum mati koruptor, tidak ada penangkapan Jokowi dan Luhut, kami sangat kecewa dengan apa yang di lakukan masyarakat dan mahasiswa indonesia yang munafik dan naif dengan apa yang telah terjadi selama 1 dekade sebelumnya !! #RUUHUKUMMATIKORUPTOR",2025-09-14T06:33:12.000Z,14 Sep
ANGGOTA???? EMANGNYA SIAPA YANG NGEREKRUT DIA MASUK???,2025-09-15T23:17:12.000Z,16 Sep
Apasie,2025-09-15T14:05:03.000Z,15 Sep
"tuntutannya tanggung, cuma menyasar kulit masalah. sekalian lah bikin tuntutan 1 dulu tapi gede; hapus peran partai politik dalam proses demokrasi",2025-09-15T12:07:52.000Z,15 Sep
"Wrong turn tempo, take a detour",2025-09-16T23:01:30.000Z,17 Sep
Dan akhirnya cuma minta maaf soal buka bukaan aliran dana buzzer sama feri,2025-09-16T07:14:35.000Z,16 Sep
"YANG MERASA TUNTUTAN 17+8 ITU ADALAH ""SAMPAH"", COBA DONK BIKIN TUNTUTAN SERUPA, PENGEN LIAT GW, PENGEN LIAT APA BACOT KALIAN LEBIH GEDE DRPD OTAK MEREKA ?",2025-09-16T15:41:18.000Z,16 Sep
inilah alasan lain mengapa ind*n bisa dijajah 350 tahun : terlalu jahat kepada orang baik dan terlalu baik kepada orang jahat.,2025-09-17T06:44:55.000Z,17 Sep
"@_haye_ kalau lihat arah diskusinya, gerakan lurus terorganisir emang kudu tahan banting ya. Ego sektoral kenceng lagi ngalahin nafas gerakan awal. Kalau dah gini ya kudu balikin lagi ke nafas kolektif  berkobar2 marah gpp, duduk lagi sbntr, kita pikir lg kita mau benahi gmn …",2025-09-16T01:41:35.000Z,16 Sep
@grok tolong jelaskan kronogis kenapa penggagas 17+8 disebut-sebut anti kritik?,2025-09-15T16:49:36.000Z,15 Sep
https://x.com/myopicjudgement/status/1967427702492934533?t=T8eZE_fqXyXRTWN82qV59A&s=19…,2025-09-15T08:55:42.000Z,15 Sep
"Kakak OJOL ini ternyata lebih cerdas, lebih waras daripada influencer yang suka demo dengan tuntutan 17+8.. Keren KK",2025-09-10T05:30:05.000Z,12.30 PM · 10 Sep 2025
